Name,Sex,Number of Beds,Purpose,Date,Time
Cygnet Storthfield House,Male,3,Rehab,2024-07-13,20:32:12
Cygnet Hospital Colchester,Male,2,Rehab,2024-07-13,20:32:12
Cygnet Fountains,Male,3,Rehab,2024-07-13,20:32:12
Cygnet Oaks,Male,3,Rehab,2024-07-13,20:32:12
Gledholt Mews and Coach House,Male,1,Rehab,2024-07-13,20:32:12
Cygnet Hospital Maidstone,Male,2,Rehab,2024-07-13,20:32:12
1 Vincent Court,Male,1,Rehab,2024-07-13,20:32:12
Cygnet St Teilo House,Female,2,Rehab,2024-07-13,20:32:12
12 Woodcross Street,Male,1,Rehab,2024-07-13,20:32:12
Cygnet Lodge Woking,Male,0,Rehab,2024-07-13,20:32:12
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-07-13,20:32:12
Cygnet Maple House,Female,3,PDU,2024-07-13,20:32:12
Cygnet Hospital Maidstone,Female,3,PDU,2024-07-13,20:32:12
Gledholt Mews and Coach House,Male,1,PDU,2024-07-13,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-13,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-13,20:32:12
Cygnet Acer Clinic,Female,1,PDU,2024-07-13,20:32:12
Cygnet Storthfield House,Male,3,Rehab,2024-07-14,14:56:07
Cygnet Storthfield House,Male,2,Rehab,2024-07-15,14:56:07
Cygnet Storthfield House,Male,1,Rehab,2024-07-16,14:56:07
Cygnet Storthfield House,Male,2,Rehab,2024-07-17,14:56:07
Cygnet Storthfield House,Male,2,Rehab,2024-07-18,14:56:07
Cygnet Storthfield House,Male,3,Rehab,2024-07-19,14:56:07
Cygnet Hospital Beckton,Female,5,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Sherwood,Male,3,Acute/PICU,2024-07-13,20:32:12
Cygnet Appletree,Female,3,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Kewstoke,Female,3,Rehab,2024-07-13,20:32:12
Cygnet Hospital Kewstoke,Female,3,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Beckton,Female,2,PDU,2024-07-13,20:32:12
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Hexham,Female,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Appletree,Female,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Taunton,Male,3,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Taunton,Female,1,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Kewstoke,Male,2,Rehab,2024-07-13,20:32:12
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Woking,Female,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Stevenage,Female,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Stevenage,Female,2,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Colchester,Male,1,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-07-13,20:32:12
Cygnet Hospital Derby,Male,4,Rehab,2024-07-14,20:32:12
Cygnet Hospital Kewstoke,Male,3,Rehab,2024-07-14,20:32:12
Cygnet Hospital Kewstoke,Male,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Delfryn House,Male,3,Rehab,2024-07-14,20:32:12
Cygnet Hospital Colchester,Male,3,Rehab,2024-07-14,20:32:12
Cygnet Fountains,Male,3,Rehab,2024-07-14,20:32:12
Cygnet Oaks,Male,3,Rehab,2024-07-14,20:32:12
Gledholt Mews and Coach House,Male,1,Rehab,2024-07-14,20:32:12
Cygnet Hospital Maidstone,Male,1,Rehab,2024-07-14,20:32:12
1 Vincent Court,Male,1,Rehab,2024-07-14,20:32:12
Cygnet St Teilo House,Female,3,Rehab,2024-07-14,20:32:12
12 Woodcross Street,Male,0,Rehab,2024-07-14,20:32:12
Cygnet Lodge Woking,Male,2,Rehab,2024-07-14,20:32:12
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Maple House,Female,4,PDU,2024-07-14,20:32:12
Cygnet Hospital Maidstone,Female,2,PDU,2024-07-14,20:32:12
Gledholt Mews and Coach House,Male,2,PDU,2024-07-14,20:32:12
Cygnet Hospital Bury,Male,2,PDU,2024-07-14,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-14,20:32:12
Cygnet Acer Clinic,Female,0,PDU,2024-07-14,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Sherwood,Male,4,Acute/PICU,2024-07-14,20:32:12
Cygnet Appletree,Female,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Kewstoke,Female,3,Rehab,2024-07-14,20:32:12
Cygnet Hospital Kewstoke,Female,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Beckton,Female,1,PDU,2024-07-14,20:32:12
Cygnet Hospital Beckton,Female,1,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Hexham,Female,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Appletree,Female,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Taunton,Male,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Taunton,Female,3,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-07-14,20:32:12
